1,5,0,0,1,1,1
2,6,0,0,1,1,1
3,5,0,0,1,1,1
1,7,0,0,1,1,1
3,8,0,0,1,1,1
2,7,0,0,1,1,1
4,6,0,0,1,1,1
4,8,0,0,1,1,1
3,9,0,0,1,1,1
4,10,0,0,1,1,1
2,11,0,0,1,1,1
1,12,0,0,1,1,1
5,12,0,0,1,1,1
5,9,0,0,1,1,1
6,11,0,0,1,1,1
6,8,0,0,1,1,1
5,6,0,0,1,1,1
7,8,0,0,1,1,1
5,7,0,0,1,1,1
6,7,0,0,1,1,1
7,11,0,0,1,1,1
7,12,0,0,1,1,1
5,8,0,0,1,1,1
6,10,0,0,1,1,1
8,9,0,0,1,1,1
8,10,0,0,1,1,1
11,13,0,0,1,1,1
12,14,0,0,1,1,1
10,13,0,0,1,1,1
9,14,0,0,1,1,1
12,15,0,0,1,1,1
12,16,0,0,1,1,1
11,16,0,0,1,1,1
11,17,0,0,1,1,1
10,18,0,0,1,1,1
10,19,0,0,1,1,1
9,19,0,0,1,1,1
9,20,0,0,1,1,1
13,19,0,0,1,1,1
13,18,0,0,1,1,1
13,17,0,0,1,1,1
14,15,0,0,1,1,1
13,14,0,0,1,1,1
16,19,0,0,1,1,1
14,20,0,0,1,1,1
14,16,0,0,1,1,1
14,19,0,0,1,1,1
15,16,0,0,1,1,1
16,17,0,0,1,1,1
13,16,0,0,1,1,1
18,19,0,0,1,1,1
19,20,0,0,1,1,1
13,21,0,0,1,1,1
13,22,0,0,1,1,1
18,22,0,0,1,1,1
14,23,0,0,1,1,1
14,24,0,0,1,1,1
16,23,0,0,1,1,1
17,21,0,0,1,1,1
16,21,0,0,1,1,1
15,23,0,0,1,1,1
19,22,0,0,1,1,1
20,24,0,0,1,1,1
19,24,0,0,1,1,1
23,25,0,0,1,1,1
21,26,0,0,1,1,1
24,25,0,0,1,1,1
23,27,0,0,1,1,1
21,27,0,0,1,1,1
24,28,0,0,1,1,1
22,26,0,0,1,1,1
22,28,0,0,1,1,1
24,29,0,0,1,1,1
22,30,0,0,1,1,1
21,31,0,0,1,1,1
23,32,0,0,1,1,1
25,32,0,0,1,1,1
26,28,0,0,1,1,1
26,31,0,0,1,1,1
