308.00	18600.00	12.10
379.00	22600.00	12.00
390.00	29400.00	13.50
389.00	37300.00	15.20
480.00	45500.00	15.10
569.00	53400.00	15.00
582.00	80300.00	18.20
691.00	94400.00	18.20
903.00	122000.00	18.00
870.00	138000.00	19.60
813.00	153000.00	21.30
940.00	175000.00	21.20
873.00	189000.00	22.90
1140.00	245000.00	22.70
1230.00	299000.00	24.30
1510.00	364000.00	24.10
1220.00	383000.00	27.50
1390.00	431000.00	27.40
1550.00	479000.00	27.30
1710.00	526000.00	27.20
1550.00	599000.00	30.60
1920.00	730000.00	30.40
2270.00	857000.00	30.20
2320.00	1290000.00	36.70
2750.00	1520000.00	36.50
3000.00	1940000.00	39.70
2930.00	2580000.00	46.20
3480.00	3030000.00	46.00
4300.00	3700000.00	45.70
4610.00	4530000.00	48.80
5540.00	6790000.00	55.10
6190.00	7680000.00	54.90
6180.00	9600000.00	61.60
6910.00	10500000.00	61.30
7630.00	11700000.00	61.10
9060.00	13800000.00	60.60
