308	18600	7.77107524
379	22600	7.722085655
448	26500	7.69101981
349	26700	8.746673539
430	32600	8.70712085
509	38200	8.663089282
389	37200	9.779050059
480	45400	9.725396307
569	53300	9.678487006
656	61100	9.650919329
741	68700	9.62873567
582	80200	11.73885375
691	94300	11.6819898
903	122000	11.62347645
1110	148000	11.54700538
813	153000	13.71830463
940	175000	13.64442057
1060	197000	13.63264672
1310	239000	13.50713693
1230	299000	15.5913255
1510	363000	15.50475253
1790	427000	15.44498255
1390	431000	17.60885977
1710	525000	17.5219161
2030	617000	17.4339005
1550	598000	19.64195641
1920	729000	19.48557159
2270	857000	19.43020946
2790	1040000	19.30698984
2320	1290000	23.58038343
2750	1520000	23.51015255
3390	1850000	23.36070876
3480	3030000	29.50745084
4300	3700000	29.33368569
5100	4350000	29.20515668
5210	6530000	35.40280957
6190	7680000	35.2237253
6830	8430000	35.13204541
6180	9600000	39.41317113
6910	10700000	39.3507365
7630	11700000	39.15891607
9060	13800000	39.02792344
